code_module,week,expected_clicks,expected_active_days
AAA,0,549.6,14.8
AAA,1,209.6,5.3
AAA,2,213.1,5.4
AAA,3,148.7,5.2
AAA,4,137.0,5.0
AAA,5,131.1,4.8
AAA,6,121.0,4.8
AAA,7,119.7,4.9
AAA,8,93.4,4.4
AAA,9,81.6,4.4
AAA,10,86.3,4.0
AAA,11,58.8,3.3
AAA,12,65.6,3.7
AAA,13,101.4,4.4
AAA,14,90.1,4.5
AAA,15,92.6,4.3
AAA,16,107.9,4.8
AAA,17,100.9,4.6
AAA,18,108.4,4.9
AAA,19,110.1,4.5
AAA,20,102.6,4.5
AAA,21,92.2,4.3
AAA,22,96.0,4.2
AAA,23,105.2,4.6
AAA,24,97.2,4.4
AAA,25,91.8,4.4
AAA,26,82.2,4.3
AAA,27,73.2,4.0
AAA,28,68.3,3.9
AAA,29,83.6,4.5
AAA,30,99.6,4.9
AAA,31,115.7,4.6
AAA,32,111.7,4.3
AAA,33,110.8,4.1
AAA,34,147.1,4.7
AAA,35,25.1,3.0
AAA,36,12.0,2.4
AAA,37,8.0,2.2
AAA,38,4.2,1.5
BBB,0,193.3,6.9
BBB,1,91.1,3.6
BBB,2,88.9,3.8
BBB,3,83.1,3.8
BBB,4,86.6,3.6
BBB,5,86.0,3.6
BBB,6,87.8,3.7
BBB,7,76.2,3.6
BBB,8,56.3,3.3
BBB,9,49.2,3.0
BBB,10,52.1,2.9
BBB,11,56.3,2.8
BBB,12,64.9,3.1
BBB,13,85.3,3.4
BBB,14,70.3,3.3
BBB,15,62.8,3.3
BBB,16,66.3,3.2
BBB,17,63.3,3.3
BBB,18,59.9,3.2
BBB,19,61.7,3.2
BBB,20,60.8,3.1
BBB,21,70.6,3.3
BBB,22,63.4,3.2
BBB,23,60.2,3.3
BBB,24,50.8,3.0
BBB,25,51.6,2.8
BBB,26,57.1,2.9
BBB,27,57.8,3.0
BBB,28,63.8,3.2
BBB,29,57.2,3.0
BBB,30,54.4,2.9
BBB,31,66.8,3.1
BBB,32,64.3,2.9
BBB,33,71.7,3.0
BBB,34,49.8,2.7
BBB,35,19.6,2.2
BBB,36,11.9,2.0
BBB,37,10.4,1.7
BBB,38,7.2,1.3
CCC,0,275.9,10.6
CCC,1,154.3,4.1
CCC,2,175.5,4.4
CCC,3,103.0,4.0
CCC,4,107.1,4.4
CCC,5,79.2,4.0
CCC,6,84.4,3.7
CCC,7,84.0,3.4
CCC,8,101.0,3.6
CCC,9,150.5,4.1
CCC,10,46.9,3.0
CCC,11,42.4,2.7
CCC,12,50.4,2.8
CCC,13,67.1,3.5
CCC,14,82.9,3.8
CCC,15,86.4,3.9
CCC,16,77.7,3.6
CCC,17,77.9,3.4
CCC,18,79.6,3.4
CCC,19,136.4,3.9
CCC,20,127.1,4.0
CCC,21,68.0,3.7
CCC,22,66.8,3.7
CCC,23,54.1,3.4
CCC,24,52.5,3.2
CCC,25,58.0,3.1
CCC,26,63.6,2.9
CCC,27,77.5,3.3
CCC,28,99.0,3.7
CCC,29,132.1,4.0
CCC,30,158.5,3.9
CCC,31,113.1,3.4
