id_student,n_modules,actual,count_based_pred,max_pool_pred
29820,2,0,0,0
39208,2,1,0,0
49119,2,1,0,1
60809,2,0,0,0
64296,2,1,0,1
67685,2,1,0,0
73664,2,1,0,0
83219,2,0,0,0
84299,2,1,0,0
96874,2,1,1,1
109577,2,1,0,0
119310,2,1,0,1
124711,2,1,0,1
131695,2,1,0,1
132423,2,1,1,1
133104,2,0,0,0
135330,2,1,1,1
141301,1,1,0,0
142092,2,0,0,0
161781,2,1,1,1
167791,2,0,0,1
172965,1,0,0,0
183331,2,1,0,0
190780,2,1,0,1
193163,2,1,0,0
198902,2,1,0,1
228695,2,1,0,0
231339,2,0,0,0
237934,2,1,1,1
242636,2,1,0,1
244977,2,0,0,0
247819,2,0,0,0
253496,2,1,1,1
260062,1,0,0,0
261265,2,1,0,0
266040,2,1,1,1
267118,1,1,1,1
275297,2,0,0,0
277577,1,1,0,0
279883,2,1,0,1
281656,2,1,0,1
284095,2,0,0,0
284741,2,1,0,1
285170,2,0,0,0
287897,2,1,0,1
289397,1,0,0,0
294112,2,1,0,1
296222,2,1,0,0
298777,2,1,0,0
305876,2,1,0,1
308391,2,1,0,1
319042,2,1,0,1
322499,2,1,1,1
322641,2,1,0,0
324257,2,1,0,0
324338,2,1,0,0
336014,2,1,0,0
338854,2,1,0,0
342957,2,1,0,0
344740,2,1,0,0
349069,2,1,0,1
353979,2,1,0,0
359460,2,1,0,1
359657,2,1,0,1
362661,2,1,0,0
364066,2,1,0,0
366424,2,1,0,1
369242,2,1,0,1
372577,2,1,1,1
372812,2,1,0,1
384106,2,1,0,1
386671,2,1,0,0
387944,2,1,0,1
390029,2,0,0,0
393094,1,1,0,0
405125,2,1,0,1
405192,2,1,0,0
411549,2,1,0,0
413087,2,1,0,0
416689,2,1,0,1
422343,2,0,0,0
425053,2,1,0,0
426616,2,1,0,0
431386,2,1,0,0
438796,2,0,0,1
446778,2,1,0,0
447644,2,0,0,0
464724,2,1,0,1
464780,2,1,1,1
466714,1,1,1,1
467230,2,0,0,0
468623,2,1,0,1
469761,2,0,0,0
470914,2,1,0,1
471018,2,1,1,1
472616,2,1,0,0
472762,2,0,0,0
473509,1,1,0,0
477099,2,1,0,1
478550,2,1,0,0
479607,3,1,1,1
479987,2,1,0,1
480928,2,1,1,1
483858,2,0,0,0
485312,2,0,0,0
490443,2,1,0,1
490587,2,1,1,1
490662,2,1,1,1
493793,3,1,0,0
493876,1,0,0,0
496108,2,1,0,1
496530,2,1,1,1
500440,2,1,0,1
501897,2,1,0,1
502004,3,1,1,1
502929,2,1,0,0
503872,2,1,0,1
505767,2,0,0,0
505815,1,0,0,0
506705,2,0,0,0
511350,1,1,1,1
511657,2,1,1,1
516238,2,0,0,0
518116,2,1,0,1
519116,2,1,1,1
